"","room_id","survey_id","host_id","room_type","country","city","borough","neighborhood","reviews","overall_satisfaction","accommodates","bedrooms","bathrooms","price","minstay","name","property_type","last_modified","latitude","longitude","location"
"23",9095319,1129,36350475,"Private room",NA,"New York","Brooklyn","Bushwick",29,4,2,1,NA,40,NA,"Artist Loft Space in Bushwick","Apartment","2017-04-21 12:24:44.308129",40.693031,-73.906192,"0101000020E610000066F9BA0CFF7952C09D0E643DB5584440"
"24",11689818,1129,22808020,"Entire home/apt",NA,"New York","Brooklyn","Bushwick",1,NA,2,1,NA,70,NA,"Spacious Brooklyn Apartment","Apartment","2017-04-22 06:35:50.819781",40.69473,-73.918824,"0101000020E6100000EAB12D03CE7A52C069C6A2E9EC584440"
"25",6627931,1129,33722691,"Entire home/apt",NA,"New York","Brooklyn","Clinton Hill",1,NA,4,2,NA,120,NA,"Spacious 2 Bedroom + Backyard in Fort Greene BK","Apartment","2017-04-22 09:57:07.256763",40.693739,-73.967274,"0101000020E61000005A1135D1E77D52C0D97A8670CC584440"
"26",6845926,1129,16496648,"Private room",NA,"New York","Brooklyn","Crown Heights",38,4.5,2,1,NA,70,NA,"Convenient Cozy Room","Apartment","2017-04-21 18:51:24.657310",40.672316,-73.962202,"0101000020E61000005589B2B7947D52C0ED4960730E564440"
"27",11226230,1129,14278103,"Entire home/apt",NA,"New York","Brooklyn","Crown Heights",2,NA,2,0,NA,98,NA,"an airy sunlit studio","Apartment","2017-04-24 12:43:16.640705",40.675336,-73.949453,"0101000020E6100000B40584D6C37C52C0DEE7F86871564440"
"28",14671358,1129,24829159,"Entire home/apt",NA,"New York","Manhattan","Upper West Side",2,NA,4,1,NA,120,NA,"Cozy 1 bedroom, King Bed, 7mins to Times Square","Apartment","2017-04-22 09:44:06.152708",40.795421,-73.971934,"0101000020E6100000B6F7A92A347E52C09BC6F65AD0654440"
"29",16856480,1129,112283893,"Private room",NA,"New York","Brooklyn","Bushwick",3,4.5,2,1,NA,36,NA,"Private Bedroom in Tranquil Apartment","Apartment","2017-04-21 12:07:15.047137",40.692804,-73.91328,"0101000020E6100000D105F52D737A52C0DD442DCDAD584440"
"30",563442,1129,2770788,"Entire home/apt",NA,"New York","Manhattan","West Village",29,4.5,2,1,NA,197,NA,"Designer Studio in the HEART of WV!","Apartment","2017-04-22 19:03:32.622749",40.735136,-73.999538,"0101000020E6100000FE463B6EF87F52C05E0EBBEF185E4440"
"31",16252102,1129,38452773,"Entire home/apt",NA,"New York","Manhattan","Lower East Side",0,NA,4,2,NA,199,NA,"Prime Location Manhattan 2 Bedroom for the Holiday","Apartment","2017-04-22 19:25:16.600190",40.714343,-73.989387,"0101000020E61000009A05DA1D527F52C0329067976F5B4440"
"32",4720137,1129,20868275,"Private room",NA,"New York","Queens","Elmhurst",3,5,1,1,NA,43,NA,"Cozy Share House in Queens (Room A)","Apartment","2017-04-21 13:48:10.867456",40.73927,-73.872096,"0101000020E61000003CBEBD6BD07752C0FB743C66A05E4440"
"33",6972534,1129,21803081,"Private room",NA,"New York","Brooklyn","Williamsburg",2,NA,2,1,NA,55,NA,"Nice room in a super nice apartment","Apartment","2017-04-21 16:30:23.613355",40.715911,-73.941698,"0101000020E61000005A2DB0C7447C52C05FECBDF8A25B4440"
"34",8492253,1129,3669920,"Private room",NA,"New York","Brooklyn","Williamsburg",5,5,1,1,NA,45,NA,"Private Bedroom in Williamsburg","Apartment","2017-04-21 16:30:23.628971",40.708901,-73.94418,"0101000020E61000006362F3716D7C52C0048D9944BD5A4440"
"35",4424511,1129,3641595,"Entire home/apt",NA,"New York","Brooklyn","Park Slope",156,5,4,1,NA,160,NA,"Great location, cozy, near F, G, R!","House","2017-04-22 14:59:01.829857",40.670995,-73.987909,"0101000020E6100000249BABE6397F52C0C763062AE3554440"
