"","room_id","survey_id","host_id","room_type","country","city","borough","neighborhood","reviews","overall_satisfaction","accommodates","bedrooms","bathrooms","price","minstay","name","last_modified","latitude","longitude","location"
"62",16187731,1178,105706410,"Entire home/apt",NA,"Houston",NA,"DOWNTOWN",0,NA,8,3,NA,2000,NA,"EaDO House with Rooftop Deck for Super Bowl!","2017-05-01 04:40:24.275363",29.745328,-95.353248,"0101000020E610000027D87F9D9BD657C008CBD8D0CDBE3D40"
"63",12009679,1178,29961847,"Entire home/apt",NA,"Houston",NA,"SOUTH MAIN",9,5,8,3,NA,199,NA,"Gorgeous 3-story home near NRG Stadium","2017-05-01 01:10:30.532474",29.667746,-95.433757,"0101000020E61000004F5AB8ACC2DB57C0EA08E066F1AA3D40"
"64",7357533,1178,38513394,"Entire home/apt",NA,"Houston",NA,"MIDTOWN",50,5,4,2,NA,135,NA,"Prime Location Midtown Condo","2017-05-01 00:46:14.237086",29.739345,-95.371196,"0101000020E6100000FC19DEACC1D757C00C76C3B645BD3D40"
"65",16189990,1178,105721937,"Entire home/apt",NA,"Houston",NA,"MID WEST",5,4,2,0,NA,89,NA,"Chateaux Dupre","2017-05-01 00:01:45.571782",29.73911,-95.506427,"0101000020E6100000EEB3CA4C69E057C085251E5036BD3D40"
"66",17042995,1178,114379009,"Private room",NA,"Houston",NA,"GREATER UPTOWN",0,NA,2,1,NA,85,NA,"Quiet and Cozy Private Bedroom - Galleria Area","2017-04-30 22:42:02.702084",29.744166,-95.479388,"0101000020E61000001286014BAEDE57C08ECBB8A981BE3D40"
"67",16012471,1178,16831960,"Entire home/apt",NA,"Houston",NA,"SOUTH MAIN",0,NA,10,3,NA,1500,NA,"Walkable to the Super Bowl. Luxurious house!","2017-05-01 03:54:10.702446",29.67006,-95.418135,"0101000020E610000008944DB9C2DA57C0965B5A0D89AB3D40"
"68",14522612,1178,28928958,"Entire home/apt",NA,"Houston",NA,"ASTRODOME AREA",1,NA,4,2,NA,200,NA,"2/2 walking distance to NRG Stadium","2017-05-01 01:11:08.402091",29.691841,-95.409464,"0101000020E6100000EB387EA834DA57C02D08E57D1CB13D40"
"69",16897416,1178,112758087,"Entire home/apt",NA,"Houston",NA,"MEMORIAL",15,5,4,2,NA,85,NA,"Memorial 2 bedroom Townhouse","2017-04-30 23:47:47.374739",29.774564,-95.599366,"0101000020E6100000661536035CE657C0B1A888D349C63D40"
"70",17046694,1178,114417915,"Entire home/apt",NA,"Houston",NA,"KINGWOOD AREA",0,NA,4,2,NA,46,NA,"20 minutes from Bush Int'l Airport. NE Houston.","2017-04-30 23:30:38.822068",30.039434,-95.225477,"0101000020E6100000034015376ECE57C0B859BC58180A3E40"
"71",16542200,1178,85334800,"Entire home/apt",NA,"Houston",NA,"WESTBURY",0,NA,7,3,NA,2000,NA,"Great location (Super Bowl/Close to NRG Stadium)","2017-05-01 05:04:32.944881",29.655229,-95.492278,"0101000020E610000094A2957B81DF57C00A647616BDA73D40"
"72",15899173,1178,38483146,"Private room",NA,"Houston",NA,"BRAESWOOD",1,NA,4,1,NA,179,NA,"Private room Rice Village,NRG,Med Center,Downtown","2017-04-30 22:43:44.162062",29.702073,-95.422429,"0101000020E610000072F8A41309DB57C094675E0EBBB33D40"
"73",16255853,1178,106295042,"Entire home/apt",NA,"Houston",NA,"SPRING BRANCH EAST",0,NA,6,3,NA,500,NA,"2017 Houston Super Bowl Get Away Centrally located","2017-05-01 01:37:27.275232",29.79902,-95.467554,"0101000020E61000004CC79C67ECDD57C094D920938CCC3D40"
"74",16813526,1178,12986556,"Entire home/apt",NA,"Houston",NA,"SOUTH MAIN",0,NA,10,3,NA,380,NA,"Super Bowl a walk away!! 3bed/2bath","2017-05-01 01:57:44.021683",29.67114,-95.419801,"0101000020E610000000750305DEDA57C09609BFD4CFAB3D40"
"75",16886577,1178,103767711,"Entire home/apt",NA,"Houston",NA,"MEDICAL CENTER AREA",0,NA,8,4,NA,10000,NA,"SUPERBOWL HOUSTON HOME HAS IT ALL!","2017-05-01 04:52:02.881392",29.699103,-95.409689,"0101000020E6100000FB21365838DA57C01689096AF8B23D40"
