"","room_id","survey_id","host_id","room_type","country","city","borough","neighborhood","reviews","overall_satisfaction","accommodates","bedrooms","bathrooms","price","minstay","last_modified","latitude","longitude","location"
"28",14372148,1112,85360355,"Entire home/apt",NA,"Nashville",NA,21,8,5,12,3,NA,133,NA,"2017-04-13 13:40:41.093817",36.15481,-86.824133,"0101000020E61000007BA35698BEB455C0008C67D0D0134240"
"29",16643263,1112,109982801,"Entire home/apt",NA,"Nashville",NA,6,4,5,6,2,NA,119,NA,"2017-04-13 13:39:30.808955",36.167687,-86.748582,"0101000020E6100000F4177AC4E8AF55C0707B82C476154240"
"30",8904422,1112,5407056,"Entire home/apt",NA,"Nashville",NA,21,26,5,10,4,NA,100,NA,"2017-04-13 13:34:11.397097",36.162985,-86.826223,"0101000020E6100000FE0C6FD6E0B455C0895E46B1DC144240"
"31",1448241,1112,3375180,"Entire home/apt",NA,"Nashville",NA,21,94,4.5,4,2,NA,90,NA,"2017-04-13 13:32:15.463982",36.149471,-86.805954,"0101000020E6100000250516C094B355C0A759A0DD21134240"
"32",12389913,1112,25234599,"Private room",NA,"Nashville",NA,25,16,5,3,1,NA,65,NA,"2017-04-13 13:28:55.738266",36.108132,-86.775907,"0101000020E6100000336FD575A8B155C056D3F544D70D4240"
"33",8593786,1112,45222125,"Entire home/apt",NA,"Nashville",NA,19,22,5,6,3,NA,350,NA,"2017-04-13 14:16:51.556496",36.181944,-86.793941,"0101000020E6100000077DE9EDCFB255C00ADAE4F049174240"
"34",14747041,1112,91875095,"Entire home/apt",NA,"Nashville",NA,16,53,5,4,0,NA,74,NA,"2017-04-13 13:31:46.736889",36.124086,-86.722756,"0101000020E610000038BF61A241AE55C01BF2CF0CE20F4240"
"35",16549536,1112,103865105,"Entire home/apt",NA,"Nashville",NA,24,0,NA,6,3,NA,200,NA,"2017-04-13 13:54:41.565217",36.132197,-86.82156,"0101000020E6100000EAEC647094B455C08DD0CFD4EB104240"
"36",8797249,1112,45856262,"Entire home/apt",NA,"Nashville",NA,19,10,4.5,8,2,NA,225,NA,"2017-04-13 13:54:56.857568",36.172167,-86.779116,"0101000020E610000095F25A09DDB155C0A839799109164240"
"37",6291787,1112,32713332,"Entire home/apt",NA,"Nashville",NA,23,0,NA,7,4,NA,750,NA,"2017-04-13 14:33:40.182103",36.112623,-86.853431,"0101000020E610000020990E9D9EB655C082E3326E6A0E4240"
"38",14216605,1112,85360355,"Entire home/apt",NA,"Nashville",NA,5,0,NA,4,2,NA,250,NA,"2017-04-13 13:55:30.582171",36.200566,-86.764419,"0101000020E61000003A5CAB3DECB055C043588D25AC194240"
"39",16311967,1112,78155047,"Entire home/apt",NA,"Nashville",NA,5,8,5,6,2,NA,99,NA,"2017-04-13 13:33:00.139173",36.173715,-86.765622,"0101000020E610000047C66AF3FFB055C08EE9094B3C164240"
"40",2220560,1112,9396954,"Entire home/apt",NA,"Nashville",NA,16,11,5,2,1,NA,125,NA,"2017-04-13 13:40:58.931525",36.100308,-86.742843,"0101000020E610000000C45DBD8AAF55C07AC37DE4D60C4240"
"41",15374911,1112,56081420,"Private room",NA,"Nashville",NA,1,1,NA,5,1,NA,125,NA,"2017-04-13 13:29:34.011617",36.310395,-86.904522,"0101000020E6100000CD203EB0E3B955C0C4EBFA05BB274240"
"42",16353288,1112,107084076,"Entire home/apt",NA,"Nashville",NA,4,12,5,4,2,NA,160,NA,"2017-04-13 13:43:29.841022",36.022564,-86.740206,"0101000020E61000006493FC885FAF55C092088D60E3024240"
"43",13261158,1112,32224476,"Entire home/apt",NA,"Nashville",NA,21,40,4.5,4,2,NA,199,NA,"2017-04-13 13:54:33.314536",36.150007,-86.805888,"0101000020E6100000490F43AB93B355C0E695EB6D33134240"
"44",17172248,1112,893824,"Entire home/apt",NA,"Nashville",NA,20,9,5,8,3,NA,250,NA,"2017-04-13 13:55:04.614083",36.152602,-86.867808,"0101000020E610000042CD902A8AB755C0F0A65B7688134240"
"45",15647885,1112,69852847,"Private room",NA,"Nashville",NA,19,9,5,4,1,NA,175,NA,"2017-04-13 13:29:35.794063",36.147451,-86.791931,"0101000020E6100000126C5CFFAEB255C09961A3ACDF124240"
"46",14867808,1112,20631462,"Entire home/apt",NA,"Nashville",NA,5,35,5,2,1,NA,55,NA,"2017-04-13 13:31:40.202071",36.198267,-86.764158,"0101000020E610000083BEF4F6E7B055C0227024D060194240"
"47",1975476,1112,4962900,"Entire home/apt",NA,"Nashville",NA,19,5,4.5,5,2,NA,166,NA,"2017-04-13 13:45:35.341455",36.16158,-86.779774,"0101000020E61000005A1135D1E7B155C006D847A7AE144240"
"48",8405873,1112,28121506,"Entire home/apt",NA,"Nashville",NA,16,107,5,3,1,NA,81,NA,"2017-04-13 13:32:15.470824",36.109752,-86.739023,"0101000020E61000007AFF1F274CAF55C0D655815A0C0E4240"
"49",5933237,1112,14083317,"Entire home/apt",NA,"Nashville",NA,6,91,5,4,2,NA,175,NA,"2017-04-13 13:43:16.618682",36.188032,-86.740775,"0101000020E610000071AC8BDB68AF55C0FD4CBD6E11184240"
"50",10101324,1112,17941880,"Entire home/apt",NA,"Nashville",NA,16,42,4.5,6,2,NA,99,NA,"2017-04-13 13:33:50.971332",36.103915,-86.737126,"0101000020E610000001C287122DAF55C02C4833164D0D4240"
"51",7580806,1112,593556,"Entire home/apt",NA,"Nashville",NA,16,40,4.5,10,4,NA,199,NA,"2017-04-13 13:54:41.536720",36.117854,-86.741654,"0101000020E6100000A5BC564277AF55C0F5D901D7150F4240"
"52",15157178,1112,16246720,"Shared room",NA,"Nashville",NA,19,16,5,4,1,NA,32,NA,"2017-04-13 16:13:25.476557",36.165474,-86.776831,"0101000020E610000037E15E99B7B155C04E2B85402E154240"
"53",9091698,1112,36559297,"Entire home/apt",NA,"Nashville",NA,29,55,5,6,3,NA,76,NA,"2017-04-13 13:32:03.936597",36.104527,-86.603859,"0101000020E61000004C1938A0A5A655C045460724610D4240"
"54",11443026,1112,31791325,"Entire home/apt",NA,"Nashville",NA,19,98,4.5,4,2,NA,111,NA,"2017-04-13 13:39:16.075282",36.147337,-86.793507,"0101000020E61000006A8995D1C8B255C0D13E56F0DB124240"
"55",16768867,1112,12422621,"Entire home/apt",NA,"Nashville",NA,6,5,5,6,2,NA,119,NA,"2017-04-13 13:39:27.010617",36.172791,-86.751651,"0101000020E61000005DC0CB0C1BB055C08505F7031E164240"
"56",13860711,1112,81874490,"Entire home/apt",NA,"Nashville",NA,18,0,NA,5,2,NA,300,NA,"2017-04-13 14:07:17.013719",36.130934,-86.79808,"0101000020E6100000DEE522BE13B355C09DF7FF71C2104240"
"57",5917200,1112,4962900,"Entire home/apt",NA,"Nashville",NA,19,3,5,5,2,NA,134,NA,"2017-04-13 13:41:19.150617",36.156882,-86.767696,"0101000020E6100000485167EE21B155C061AA99B514144240"
"58",11708991,1112,62014027,"Private room",NA,"Nashville",NA,24,26,5,2,1,NA,69,NA,"2017-04-13 13:28:53.718436",36.149021,-86.844917,"0101000020E610000067B5C01E13B655C067B5C01E13134240"
"59",15566289,1112,23733115,"Entire home/apt",NA,"Nashville",NA,21,7,4.5,4,1,NA,189,NA,"2017-04-13 13:54:24.057863",36.155146,-86.797868,"0101000020E610000098A1F14410B355C0780DFAD2DB134240"
"60",3703925,1112,441439,"Entire home/apt",NA,"Nashville",NA,24,191,5,2,0,NA,100,NA,"2017-04-13 13:32:17.059928",36.141269,-86.825595,"0101000020E61000006F2F698CD6B455C02578431A15124240"
"61",16310410,1112,102202510,"Entire home/apt",NA,"Nashville",NA,6,2,NA,8,4,NA,198,NA,"2017-04-13 13:54:37.138353",36.183494,-86.739382,"0101000020E61000001250E10852AF55C091813CBB7C174240"
"62",16557786,1112,20655580,"Entire home/apt",NA,"Nashville",NA,6,3,5,12,4,NA,320,NA,"2017-04-13 14:16:43.502108",36.173882,-86.746212,"0101000020E61000007FF8F9EFC1AF55C079AEEFC341164240"
"63",7886222,1112,22066344,"Entire home/apt",NA,"Nashville",NA,24,73,5,5,2,NA,150,NA,"2017-04-13 13:43:35.327053",36.146564,-86.848852,"0101000020E61000003AC9569753B655C0AE62F19BC2124240"
"64",17132336,1112,68509322,"Private room",NA,"Nashville",NA,6,0,NA,2,1,NA,155,NA,"2017-04-13 13:29:37.464608",36.17151,-86.758791,"0101000020E6100000F25F200890B055C0EE77280AF4154240"
"65",12310604,1112,48200140,"Entire home/apt",NA,"Nashville",NA,19,6,5,4,2,NA,300,NA,"2017-04-13 13:57:05.788049",36.186164,-86.792711,"0101000020E61000007C0BEBC6BBB255C0A5D8D138D4174240"
"66",9371587,1112,48624628,"Entire home/apt",NA,"Nashville",NA,27,54,5,4,1,NA,67,NA,"2017-04-13 13:31:54.402739",36.069921,-86.731482,"0101000020E610000036E7E099D0AE55C0DD26DC2BF3084240"
"67",15757704,1112,77038235,"Private room",NA,"Nashville",NA,29,42,5,2,1,NA,41,NA,"2017-04-13 13:28:20.246276",36.092058,-86.634014,"0101000020E610000031CD74AF93A855C0E7AA798EC80B4240"
"68",14605703,1112,90629277,"Entire home/apt",NA,"Nashville",NA,20,12,5,8,3,NA,250,NA,"2017-04-13 13:57:51.552593",36.153946,-86.855876,"0101000020E61000009A5B21ACC6B655C0CDACA580B4134240"
"69",16916050,1112,4780095,"Entire home/apt",NA,"Nashville",NA,25,14,5,2,1,NA,48,NA,"2017-04-13 13:31:40.217392",36.090783,-86.790402,"0101000020E61000005A2C45F295B255C0320400C79E0B4240"
"70",9173225,1112,47737996,"Entire home/apt",NA,"Nashville",NA,34,0,NA,8,3,NA,450,NA,"2017-04-13 14:19:55.539070",36.101342,-86.826042,"0101000020E6100000D6C743DFDDB455C00ADB4FC6F80C4240"
"71",1042381,1112,5738434,"Private room",NA,"Nashville",NA,22,110,4.5,4,1,NA,75,NA,"2017-04-13 13:28:48.249803",36.12673,-86.906232,"0101000020E6100000ADA580B4FFB955C007B64AB038104240"
"72",14588588,1112,13488823,"Entire home/apt",NA,"Nashville",NA,24,14,4.5,5,2,NA,175,NA,"2017-04-13 13:43:35.338681",36.142723,-86.833981,"0101000020E6100000101FD8F15FB555C089B14CBF44124240"
"73",16549502,1112,103865105,"Entire home/apt",NA,"Nashville",NA,21,0,NA,4,2,NA,175,NA,"2017-04-13 13:45:09.644061",36.141111,-86.821048,"0101000020E61000008F1CE90C8CB455C08D0DDDEC0F124240"
"74",16858001,1112,48902546,"Entire home/apt",NA,"Nashville",NA,8,7,5,6,2,NA,57,NA,"2017-04-13 13:31:41.650357",36.256024,-86.724064,"0101000020E6100000800D881057AE55C0DC7EF964C5204240"
"75",14094430,1112,10123226,"Private room",NA,"Nashville",NA,7,0,NA,2,1,NA,50,NA,"2017-04-13 13:28:22.050438",36.19967,-86.738629,"0101000020E610000024B891B245AF55C004FF5BC98E194240"
